"pays","longitude","latitude","nvm_imp_id","nvm_hauteur_max_observee","nvm_date_hauteur_max_observee","nvm_hauteur_max_instantanee","nvm_date_hauteur_max_instantanee","nvm_surcote_pleine_mer","nvm_surcote_instantanee","nvm_id","nvm_extrait_source"
"France","-0.9774470901109567","44.774458623067176",2842,"435","1905-03-12 10:15:00",NULL,NULL,"75",NULL,32,"Toutes les caves des habitations du quartier avoisinant le square Brizieux ont été envahies par les eaux. La cote de la marée de 10h15 ce matin qui devait être de 3, 60 m a atteint la hauteur de 4,35 m deux heures après la pleine mer le flot n'avait pas encore commencé à descendre"
"France","-1.8641604117734119","49.54928491306845",1760,"614","1909-12-02 07:00:00","414","1909-12-02 23:19:00","-10","52",410,NULL
"France","2.3747508422046875","51.04373725803511",2744,"380","1941-02-16 00:00:00",NULL,NULL,"131",NULL,7,"data in m NGF. modeled data.surge max 159. Storm Track : from South West (modeled) / Wind Speed max (m/s) 29 at Les Mathes (measured) / Wind direction : 210° (measured)  / Lowest pressure 971 hPa at Les Mathes (measured) / Hs max : 8m, Tp (s) 11 / Dm 210°"
"France","-3.3021670167942148","48.81591666622131",2743,"410","1941-02-16 00:00:00",NULL,NULL,"167",NULL,19,"archives data. surge max 170. Storm Track : from South West (modeled) / Wind Speed max (m/s) 29 at Les Mathes (measured) / Wind direction : 210° (measured)  / Lowest pressure 971 hPa at Les Mathes (measured) / Hs max : 8m, Tp (s) 11 / Dm 210°"
"France","-1.1841695450074987","46.157783212854476",2744,"380","1941-02-16 00:00:00",NULL,NULL,"131",NULL,6,"data in m NGF. modeled data. surge max: 159. Storm Track : from South West (modeled) / Wind Speed max (m/s) 29 at Les Mathes (measured) / Wind direction : 210° (measured)  / Lowest pressure 971 hPa at Les Mathes (measured) / Hs max : 8m, Tp (s) 11 / Dm 210°"
"France","1.0407154961234255","49.90260291699121",2350,"490","1965-01-20 05:20:00","258","1965-01-20 14:19:00","33","65",83,NULL
"France","-1.1578441850909211","44.661816052752954",2348,"603","1965-01-20 06:04:00","376","1965-01-20 15:06:00","50","90",387,NULL
"France","1.650402750986359","50.382149369398064",2355,"573","1965-11-29 06:49:00","513","1965-11-29 11:25:00","90","180",306,NULL
"France","-2.8757536492951723","47.339616226967145",1781,"423","1967-03-10 03:10:00","193","1967-03-10 23:39:00","17","24",25,NULL
"France","-1.6816882141396263","48.11157005531396",1779,"605","1967-03-13 01:06:00","353","1967-03-11 09:45:00","23","69",392,NULL
"France","-3.302711917567834","47.71810101546159",1790,"480","1967-10-04 15:37:00","220","1967-10-04 06:39:00","-2","9",70,NULL
"France","-1.5501286025528316","48.57893701802914",1788,"588","1967-10-04 16:18:00","575","1967-10-04 04:49:00","17","44",343,NULL
"France","-2.762054270587953","48.51459033137888",2361,"580","1967-10-15 14:06:00","536","1967-10-12 09:01:00","10","105",321,NULL
"France","-2.0231800464421434","48.65114175430354",2364,"556","1967-10-15 14:15:00","193","1967-10-15 20:39:00","18","52",239,NULL
"France","-2.7606079872749154","47.65180508666467",2362,"506","1967-10-15 14:42:00","361","1967-10-12 14:43:00","12","25",112,NULL
"France","-3.4197363166876538","47.784071637585036",1799,"480","1967-11-02 02:51:00","407","1967-11-02 01:05:00","23","30",71,NULL
"France","2.210771327053174","51.03169536825533",1797,"625","1967-11-02 16:03:00","431","1967-11-02 12:57:00","58","72",436,NULL
"France","2.373498691491341","51.036694832669056",2370,"570","1968-01-06 03:34:00","252","1968-01-09 11:27:00","33","40",294,NULL
"France","-1.1469549386003066","45.77282442478083",2371,"521","1968-01-06 06:10:00","355","1968-01-09 06:00:00","-6","37",131,NULL
"France","-3.8701786380490053","47.85268201132396",2372,"468","1968-01-06 08:15:00","246","1968-01-07 02:56:00","2","50",58,NULL
"France","-1.6181697340836372","49.632501955325004",1806,"460","1970-02-10 06:08:00","233","1970-02-13 16:39:00","11","38",50,NULL
"France","2.110176940482737","50.998396738514955",1805,"625","1970-02-10 06:10:00","561","1970-02-12 10:00:00","21","112",437,NULL
"France","-1.5936957014952782","48.59689839754316",1820,"591","1972-02-14 11:34:00","444","1972-02-12 07:53:00","16","72",354,NULL
"France","-4.160750640229708","47.85387749335183",1826,"445","1972-02-15 03:40:00","287","1970-02-13 05:19:00","6","41",37,NULL
"France","-3.3635027840841896","47.75886665703172",1825,"609","1972-02-15 03:44:00","349","1970-02-13 08:12:00","7","183",402,NULL
"France","-2.0292868458064803","47.28706837943656",1821,"621","1972-02-15 03:56:00","324","1970-02-13 08:26:00","-6","153",421,NULL
"France","-1.1527007984029751","46.154514163697854",1824,"549","1972-02-15 04:17:00","256","1970-02-13 09:11:00","8","105",206,NULL
"France","2.1441266350363435","50.99732556622206",1831,"581","1974-01-14 03:35:00","343","1974-01-17 02:06:00","1","145",325,NULL
"France","-2.871197710363776","47.532399909196016",1832,"569","1974-01-14 07:21:00","569","1974-01-14 07:26:00","20","22",290,NULL
"France","-3.3500023188517503","47.70954132677099",1833,"558","1974-01-14 07:26:00","182","1974-01-14 00:55:00","14","22",251,NULL
"France","2.3741579980240584","51.0373902633898",1838,"400","1974-01-14 07:39:00","137","1974-01-14 00:00:00","3","11",16,NULL
"France","-4.495039939341552","48.38290023985434",1847,"586","1974-02-06 03:16:00","165","1974-02-06 09:48:00","46","67",337,NULL
"France","-2.3036587718355945","47.52018114132364",1849,"480","1974-02-07 03:24:00","98","1974-02-06 20:06:00","16","26",72,NULL
"France","-1.1745787200317181","44.65335583900094",1858,"571","1974-02-09 05:37:00","545","1974-02-11 19:08:00","5","58",300,NULL
"France","-4.3727004968590215","47.80606909355328",2385,"568","1974-07-05 16:06:00","565","1974-07-05 16:24:00","11","12",286,NULL
"France","-2.0755838007151346","46.79569392972043",2383,"499","1974-07-05 16:45:00","149","1974-07-04 21:53:00","3","12",100,NULL
"France","-1.8084066195696664","48.59323536262207",1865,"571","1976-12-02 04:25:00","371","1976-12-01 21:09:00","42","82",301,NULL
"France","-1.0511029884120262","45.843318983484494",1871,"532","1976-12-03 01:54:00","473","1976-12-01 22:32:00","70","110",153,NULL
"France","-1.110875914811938","45.49598148956523",1868,"574","1976-12-03 13:28:00","528","1976-12-01 21:55:00","40","102",308,NULL
"France","-2.23136156218618","46.96701150547676",1872,"549","1976-12-03 13:34:00","441","1976-11-30 14:57:00","40","103",208,NULL
"France","1.0844900003134512","49.92916999999568",1869,"610","1976-12-03 14:08:00","365","1976-12-01 16:55:00","22","65",407,NULL
"France","-1.0022982491449974","49.382095100329806",2659,"554","1977-11-12 03:52:00","267","1977-11-16 15:42:00","1","14",229,NULL
"France","-1.0908732306149318","46.366217068063406",2663,"559","1977-11-13 05:03:00","145","1977-11-15 00:12:00","-2","31",256,NULL
"France","-1.3165096983637454","46.32116880459682",2666,"462","1977-11-14 05:12:00","250","1977-11-16 22:59:00","4","23",51,NULL
"France","-2.4656157812129242","47.47381170710358",1879,"589","1978-01-11 04:59:00","509","1978-01-11 06:47:00","29","33",347,NULL
"France","-1.5494139517923031","46.42979837139791",1885,"488","1978-01-12 05:15:00","473","1978-01-12 04:35:00","26","34",80,NULL
"France","1.6077998898531973","50.45270674711884",2694,"492","1978-12-31 04:09:00","118","1978-12-31 08:53:00","27","34",87,NULL
"France","-5.0856410182182685","48.45995603054655",2680,"492","1978-12-31 04:09:00","321","1978-12-30 18:31:00","27","35",88,NULL
"France","-4.650190303339684","48.37151743438227",2674,"594","1978-12-31 04:30:00","200","1978-12-31 09:04:00","41","56",364,NULL
"France","-1.1508828229974881","46.158065343723344",1893,"580","1979-03-28 03:31:00","279","1979-03-28 12:14:00","25","47",322,NULL
"France","-2.0170914114011484","48.65192366397128",1899,"497","1979-03-28 03:34:00","307","1979-03-28 06:18:00","26","38",97,NULL
"France","2.125580231556933","50.937854270108275",1906,"600","1979-08-13 15:35:00","178","1979-08-15 12:52:00","3","29",378,NULL
"France","-4.73372078828362","48.481268683303256",1912,"544","1979-08-13 19:25:00","313","1979-08-14 00:12:00","9","47",178,NULL
"France","1.6043801404313172","50.38525179213667",1907,"485","1979-08-13 19:29:00","372","1979-08-13 22:34:00","8","24",78,NULL
"France","1.087081353621727","49.92192937204305",1913,"410","1979-08-13 19:44:00","176","1979-08-14 00:00:00","4","24",20,NULL
"France","-4.382741457851864","48.36019945024458",1908,"565","1979-08-13 20:14:00","208","1979-08-13 00:00:00","11","42",274,NULL
"France","-3.5127821566734307","48.82543154396618",1917,"593","1979-12-15 04:45:00","323","1979-12-15 12:05:00","66","70",360,"Présence de seiches à pleine mer d'amplitude ± 10 à 20 cm sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 20 cm de la hauteur max relevée le 15 décembre."
"France","-2.7569265207622866","47.65982011284117",1926,"395","1979-12-17 01:47:00","322","1979-12-15 02:27:00","8","24",14,NULL
"France","-1.4031606083533914","46.383274833155724",1923,"623","1979-12-17 02:20:00","587","1979-12-15 01:34:00","11","51",430,NULL
"France","-4.356089619213182","47.798816736686376",1919,"600","1979-12-17 22:59:00","401","1979-12-15 18:01:00","34","134",379,NULL
"France","-1.1749893549745707","46.161953645244694",1933,"473","1979-12-27 23:00:00","472","1979-12-27 22:47:00","43","44",64,NULL
"France","-1.3869165664462457","46.02467039832038",1935,"588","1979-12-28 00:33:00","562","1979-12-28 01:19:00","64","97",344,NULL
"France","-2.1990127679050575","47.27215108070686",1938,"390","1979-12-29 12:26:00","301","1979-12-28 01:14:00","11","18",12,NULL
"France","-1.123884924649417","45.74690957102007",1932,"571","1979-12-29 20:59:00","387","1979-12-28 10:57:00","23","103",302,NULL
"France","-1.0615224500008935","45.91303960949057",1951,"489","1981-12-12 16:09:00","266","1981-12-12 19:25:00","33","42",81,NULL
"France","-2.147890585382072","48.60087394327803",2706,"457","1982-10-15 14:22:00","263","1982-10-13 09:07:00","19","33",45,NULL
"France","-1.3219466559132798","46.15628173351536",2702,"534","1982-10-15 14:37:00","225","1982-10-13 20:35:00","15","49",157,NULL
"France","-1.2658705349970205","46.30734294312248",1958,"470","1982-12-09 23:42:00","453","1982-12-09 00:01:00","40","50",60,NULL
"France","-2.4747512119924813","47.52425164594883",1955,"579","1982-12-10 03:48:00","278","1982-12-09 21:59:00","44","63",317,NULL
"France","-1.1132724208853801","46.13452438669128",1957,"602","1982-12-10 20:44:00","417","1982-12-10 17:38:00","66","110",385,NULL
"France","-0.6217632129187397","49.33597396835941",1962,"404","1982-12-11 00:40:00","380","1982-12-11 01:58:00","36","42",17,NULL
"France","-1.7926272138746526","46.500851415860325",1973,"468","1984-01-21 05:22:00","330","1984-01-23 21:52:00","10","35",59,NULL
"France","-1.2718491449593619","46.412533160079754",1968,"624","1984-01-23 03:03:00","312","1984-01-24 13:10:00","32","100",432,NULL
"France","-1.5661122964451692","48.8327948096329",1969,"555","1984-01-23 07:04:00","462","1984-01-25 22:18:00","45","48",235,"Présence de seiches modérées sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 10 cm de la hauteur max relevée le 23 janvier."
"France","-0.8752152539324758","49.357678030463134",1975,"594","1984-10-04 12:09:00","336","1984-10-04 18:15:00","48","54",365,NULL
"France","-1.2578495500165445","45.90967875217285",1980,"575","1984-10-04 12:23:00","533","1984-10-04 14:09:00","49","58",310,NULL
"France","-2.9629401707521197","47.57754510961928",1982,"536","1984-10-04 12:39:00","317","1984-10-04 17:28:00","58","70",161,"Pas de données le 3 octobre."
"France","-3.3913127282996243","47.71600959626602",1976,"532","1984-10-04 16:21:00","458","1984-10-04 19:01:00","42","46",154,NULL
"France","-3.546942396087243","47.7676243144836",1983,"392","1984-10-05 12:58:00","231","1984-10-05 05:09:00","28","45",13,NULL
"France","-4.164173548969927","47.887277966105444",1978,"558","1984-10-05 21:27:00","528","1984-10-05 22:59:00","41","50",252,NULL
"France","-1.4662486716387093","43.492258245921505",1988,"606","1984-11-21 22:38:00","356","1984-11-22 20:43:00","-1","69",394,"Absence de données du 23 au 26 novembre."
"France","-2.7587746481625954","47.65365529909738",1993,"457","1984-11-23 15:31:00","197","1984-11-23 19:19:00","7","13",46,NULL
"France","0.3868935315377037","49.75817069869468",1989,"579","1984-11-23 15:34:00","439","1984-11-23 13:05:00","43","58",318,"Présence de seiches d'amplitude ± 20cm à pleine mer le 23 novembre. Phénomène non pris en compte dans la série de données analysée (pas de temps de 1 heure)."
"France","0.24363132932298007","49.42142400465006",1997,"624","1986-03-24 23:21:00","448","1986-03-23 07:40:00","63","116",433,NULL
"France","-4.090989649052915","47.99687353428635",2003,"457","1986-03-26 03:27:00","235","1986-03-24 18:04:00","8","27",47,NULL
"France","-4.264284513419398","48.451331653533146",1998,"547","1986-03-26 16:06:00","206","1986-03-24 07:19:00","20","33",193,NULL
"France","2.337022941955354","51.03056862164476",2013,"376","1987-06-08 12:40:00","260","1987-06-07 14:55:00","12","22",5,NULL
"France","-1.1337402406194315","46.37387547427386",2012,"507","1987-06-08 12:45:00","482","1987-06-07 13:46:00","-3","31",117,NULL
"France","-0.774833966702811","49.340543244591764",2008,"449","1987-06-08 12:56:00","347","1987-06-07 14:44:00","10","19",40,NULL
"France","-4.960246972419668","48.39544955954972",2006,"600","1987-06-08 13:00:00","407","1987-06-08 02:00:00","8","18",380,NULL
"France","-3.003968146054859","48.83998941721573",2010,"578","1987-06-08 13:02:00","555","1987-06-07 11:57:00","8","18",315,NULL
"France","-1.537676631770978","46.236515919873966",2007,"558","1987-06-08 17:18:00","455","1987-06-06 17:40:00","14","31",253,NULL
"France","-1.0808860245701908","44.75456559422696",2019,"526","1987-10-14 03:42:00","447","1987-10-15 02:34:00","28","76",142,NULL
"France","-2.166972586265212","46.938461149390484",2016,"623","1987-10-15 23:06:00","621","1987-10-15 23:20:00","142","147",431,NULL
"France","-2.016333681761669","48.652922132825644",2020,"496","1987-10-15 23:25:00","496","1987-10-15 23:58:00","131","137",92,NULL
"France","-2.9689431493613765","47.39014620364101",2021,"589","1987-10-15 23:43:00","588","1987-10-15 23:53:00","125","138",349,NULL
"France","-3.2705808327390855","47.80740515252592",2017,"553","1987-10-16 03:00:00","534","1987-10-16 05:05:00","107","120",225,NULL
"France","-1.4796402558929458","43.52537806544552",2024,"501","1987-10-16 12:30:00","346","1987-10-14 15:25:00","62","79",103,NULL
"France","-1.3873469078068437","46.01143587772599",2025,"348","1987-10-17 12:06:00","318","1987-10-16 00:13:00","12","38",2,NULL
"France","-1.3238467426328953","45.97608479457779",2037,"477","1988-01-22 05:39:00","258","1988-01-19 18:48:00","10","17",69,NULL
"France","-1.5275892744728843","48.60348384003333",2032,"572","1988-01-22 05:52:00","490","1988-01-19 01:51:00","21","27",303,NULL
"France","-0.5283064768622694","49.33386065454573",2043,"545","1989-02-24 05:33:00","260","1989-02-25 10:56:00","50","68",184,NULL
"France","-2.496666854996885","47.35025436950403",2062,"470","1989-12-15 04:56:00","401","1989-12-18 08:56:00","31","52",61,NULL
"France","-1.1994731089966422","46.37945349678159",2050,"550","1989-12-16 05:45:00","227","1989-12-17 00:06:00","61","88",212,NULL
"France","-1.906214239495398","48.63874466893151",2059,"582","1989-12-16 05:51:00","273","1989-12-16 23:08:00","70","83",329,"Présence de seiches d'amplitude maximale 25cm sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 25 cm de la hauteur max relevée le 16 décembre."
"France","-1.6303727596949216","43.39429182640686",2055,"561","1989-12-16 05:52:00","309","1989-12-16 22:38:00","55","79",263,NULL
"France","-1.3587574578931696","46.205101828946795",2073,"438","1990-01-27 03:46:00","309","1990-01-27 18:44:00","15","29",34,NULL
"France","-1.4686406074778802","48.56049687902794",2068,"539","1990-01-27 16:13:00","474","1990-01-27 18:05:00","48","52",167,NULL
"France","-4.332969436090423","48.66766557540615",2071,"550","1990-01-27 16:24:00","489","1990-01-27 18:09:00","52","60",213,NULL
"France","1.870432515948039","50.85830878252449",2084,"427","1990-02-01 06:59:00","211","1990-02-01 15:32:00","14","25",28,NULL
"France","-1.4378207334113366","46.222415042958836",2082,"522","1990-02-01 07:02:00","514","1990-02-03 09:56:00","22","82",134,"Présence de seiches à pleine mer sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 10 cm de la hauteur max relevée le 1 février. Sous estimation de l'ordre de 20 cm de la hauteur de PM du 3 février."
"France","-2.728657712091249","47.51310659038942",2079,"520","1990-02-01 07:15:00","495","1990-02-03 08:15:00","26","71",128,"Présence de seiches importantes les 2 et 3 février. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Evaluer la seiche du 1er fev et Analyser la série numérisée à HF les 2-3 fév"
"France","-0.758043014073678","45.198713956584015",2089,"545","1990-02-11 16:48:00","543","1990-02-11 16:32:00","43","44",185,"Présence de seiches sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Impact sur l'évaluation de la hauteur max non quantifié, car hauteurs et surcotes de PM non remarquables pour ces ports."
"France","-4.213554890556271","47.7980796277793",2094,"466","1990-02-12 04:58:00","311","1990-02-12 20:04:00","31","47",54,NULL
"France","-2.7294704022420313","47.62484552606154",2104,"475","1990-02-27 04:40:00","456","1990-03-01 06:16:00","9","13",66,NULL
"France","1.3720200766653647","50.05305242572905",2102,"592","1990-02-27 04:49:00","275","1990-02-26 07:59:00","32","40",356,"Présence de seiches à pleine mer sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 10 cm de la hauteur max relevée le 27 février."
"France","-2.432236741532222","47.27015247255872",2392,"506","1990-10-16 14:16:00","436","1990-10-15 02:55:00","12","26",113,NULL
"France","-1.083353228528427","44.616322250366046",2395,"518","1990-10-16 14:26:00","210","1990-10-15 06:06:00","13","23",123,NULL
"France","-1.918709133119819","46.69041574359187",2390,"608","1990-10-16 18:35:00","582","1990-10-15 18:58:00","-1","31",399,NULL
"France","-1.7935280000170337","46.497358000271674",2391,"593","1990-10-16 22:47:00","450","1990-10-15 19:59:00","11","30",361,NULL
"France","-1.9486725547135157","46.6961773660592",2115,"471","1992-10-26 15:28:00","126","1992-10-26 22:59:00","13","27",62,NULL
"France","2.1195115001942164","50.98531391313848",2114,"626","1992-10-26 15:30:00","561","1992-10-26 17:36:00","23","32",440,NULL
"France","-1.1642484352169618","46.45119870535615",2112,"568","1992-10-26 15:51:00","97","1992-10-26 22:11:00","15","32",287,NULL
"France","-1.225381484467789","45.83277136760472",2105,"456","1992-10-26 15:58:00","92","1992-10-25 21:17:00","0","20",44,NULL
"France","-3.1982561336935422","47.6574199996723",2123,"531","1992-11-11 03:39:00","408","1992-11-11 06:19:00","15","22",152,NULL
"France","-1.0275206140848923","45.9883924196746",2137,"464","1993-09-14 13:56:00","266","1993-09-14 05:00:00","34","52",52,NULL
"France","-3.333829972375156","47.695125120628006",2136,"609","1993-09-14 14:05:00","461","1993-09-13 04:30:00","36","124",404,NULL
"France","-2.7679178366633703","47.537694380606915",2404,"548","1993-11-13 15:09:00","219","1993-11-13 19:06:00","5","16",198,NULL
"France","-2.6603105716753817","47.53058426695054",2407,"564","1993-11-14 03:14:00","380","1993-11-13 11:52:00","3","15",270,NULL
"France","-1.6944239499283034","49.66327508196097",2147,"592","1994-01-29 04:25:00","204","1994-01-27 20:30:00","-23","6",357,NULL
"France","-4.718111028001374","48.35102598226342",2148,"433","1994-01-29 04:29:00","176","1994-01-27 23:50:00","-19","-5",30,NULL
"France","-0.5839319582930784","49.33397179546216",2142,"509","1994-01-29 04:46:00","322","1994-01-27 18:42:00","-29","2",118,NULL
"France","2.2488026009134994","51.020500769496046",2145,"524","1994-01-29 04:50:00","327","1994-01-27 12:31:00","-22","10",138,NULL
"France","-2.2623033748007515","47.00861471709567",2159,"606","1994-03-31 05:50:00","221","1994-04-01 00:04:00","17","84",396,NULL
"France","-2.353411555398793","47.2910000409193",2157,"520","1994-03-31 18:31:00","109","1994-04-01 00:41:00","17","38",129,NULL
"France","-2.0199943853807394","48.651674253265874",2154,"537","1994-03-31 18:41:00","381","1994-03-31 21:33:00","34","47",164,NULL
